Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
regression,Chrome 111.0.0.0,,,2023-03-30 11:20:15,2023-03-30 11:20:58,43.172s,PASSED
,,,,,,,
Test Cases/Register invalid email,Chrome 111.0.0.0,,,2023-03-30 11:20:15,2023-03-30 11:20:30,14.581s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-30 11:20:16,2023-03-30 11:20:19,2.774s,PASSED
"navigateToUrl(""https://stage.mobipaid.com/en/register"")",Chrome 111.0.0.0,,,2023-03-30 11:20:19,2023-03-30 11:20:22,3.732s,PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_Login_signatory_first_name""), ""Abiyyu"")",Chrome 111.0.0.0,,,2023-03-30 11:20:22,2023-03-30 11:20:23,1.126s,PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_Login_signatory_last_name""), ""Ramadhan"")",Chrome 111.0.0.0,,,2023-03-30 11:20:23,2023-03-30 11:20:24,0.757s,PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_Login_email""), ""aaaaa"")",Chrome 111.0.0.0,,,2023-03-30 11:20:24,2023-03-30 11:20:25,0.749s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Register/input_Login_password""), ""J9JeNSxOoic="")",Chrome 111.0.0.0,,,2023-03-30 11:20:25,2023-03-30 11:20:25,0.554s,PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_Login_name""), ""PT. Pranala"")",Chrome 111.0.0.0,,,2023-03-30 11:20:25,2023-03-30 11:20:26,0.790s,PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_land Islands_form-control btn-log bor_48151b""), ""81271763231"")",Chrome 111.0.0.0,,,2023-03-30 11:20:26,2023-03-30 11:20:27,0.798s,PASSED
"click(findTestObject(""Object Repository/Page_Register/div_62United States1United Kingdom44South A_1e68ec""))",Chrome 111.0.0.0,,,2023-03-30 11:20:27,2023-03-30 11:20:28,0.545s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Register/select_Your country                        _da403c""), ""9"", true)",Chrome 111.0.0.0,,,2023-03-30 11:20:28,2023-03-30 11:20:29,1.308s,PASSED
